year,polity2_score,country_count,h7_institutions_component
1986,-1.3380281690140845,142,0.4330985915492958
1987,-1.2394366197183098,142,0.4380281690140845
1988,-0.9436619718309859,142,0.4528169014084507
1989,-0.4405594405594406,143,0.477972027972028
1990,0.5902777777777778,144,0.529513888888889
1991,1.35,160,0.5675
1992,1.93125,160,0.5965625
1993,2.1226993865030677,163,0.6061349693251534
1994,2.4012345679012346,162,0.6200617283950617
1995,2.3664596273291925,161,0.6183229813664596
1996,2.279503105590062,161,0.6139751552795032
1997,2.3043478260869565,161,0.6152173913043478
1998,2.540372670807453,161,0.6270186335403727
1999,2.739130434782609,161,0.6369565217391304
2000,2.9565217391304346,161,0.6478260869565217
2001,3.15,160,0.6575
2002,3.2422360248447206,161,0.662111801242236
2003,3.270440251572327,159,0.6635220125786164
2004,3.40625,160,0.6703125
2005,3.6645962732919255,161,0.6832298136645962
2006,3.7484662576687118,163,0.6874233128834356
2007,3.7222222222222223,162,0.6861111111111111
2008,3.8220858895705523,163,0.6911042944785276
2009,3.8098159509202456,163,0.6904907975460123
2010,3.8597560975609757,164,0.6929878048780488
2011,4.03030303030303,165,0.7015151515151515
2012,4.012121212121212,165,0.7006060606060606
2013,4.175757575757576,165,0.7087878787878787
2014,4.108433734939759,166,0.7054216867469879
2015,4.204819277108434,166,0.7102409638554217
2016,4.156626506024097,166,0.7078313253012049
2017,4.13855421686747,166,0.7069277108433735
2018,4.108433734939759,166,0.7054216867469879
2019,7.0,1,0.85
2020,5.0,1,0.75
